序号,中文,英文,阿语,土耳其,印尼语,俄语,韩语,葡萄牙语,泰语,西班牙语,印地语,越南语 ,乌尔都语
9,刚刚有人访问你,Someone visit you just now,قام شخص ما بزيارتك للتو,Az önce biri profilini ziyaret etti.,Seseorang baru saja mengunjungi Anda,Кто-то посетил вас только что,방금 누군가 당신을 방문했습니다,Alguém visitou você agora há pouco,มีคนมาเยี่ยมคุณเมื่อครู่นี้,Alguien te visitó hace un momento,अभी अभी किसी ने आपसे मुलाकात की,Ai đó đã thăm bạn vừa rồi,ابھی ابھی کسی نے آپ کی عیادت کی
"10
（%s为昵称）",%s悄悄访问你的主页，快去查看吧！,"%s visits your profile quietly, check it now!",%s يزور صفحتك الرئيسية بهدوء ، تحقق من ذلك!,"%s kişi gizlice profilini ziyaret etti, hemen göz at!","%s mengunjungi beranda Anda secara diam-diam, periksalah!","%s незаметно заходит на вашу домашнюю страницу, проверьте это!",%s 조용히 홈페이지를 방문하여 확인하십시오!,"%s Visite sua página inicial em silêncio, vá conferir!",%s เข้าชมหน้าแรกของคุณอย่างเงียบ ๆ ลองดูสิ!,"%s Visita tu página de inicio en silencio, ¡échale un vistazo!","%s अपने मुखपृष्ठ पर चुपचाप जाएँ, इसे देखें!","%s Ghé thăm trang chủ của bạn một cách lặng lẽ, hãy kiểm tra nó!",%s خاموشی سے آپ کے ہوم پیج پر جاتا ہے ، اسے چیک کریں!
11,新的匹配记录未查看,New Match History,السجلات المطابقة الجديدة,Yeni Eşleşme Geçmişi,Rekaman baru yang cocok tidak dilihat,Новые совпадающие записи не просмотрены,새 일치 레코드가 표시되지 않음,Novos registros correspondentes não visualizados,ไม่ได้ดูบันทึกการจับคู่ใหม่,Nuevos registros coincidentes no vistos,नए मिलान रिकॉर्ड नहीं देखे गए,Bản ghi phù hợp mới không được xem,ملاپ کے نئے ریکارڈز نہیں دیکھے گئے
"12
（%s为昵称）",%s和你匹配过，快去查看吧！,"%s has matched with you before, check it!",قام %s بمطابقتك ، انطلق وتحقق من ذلك!,"%s seninle eşleşti, göz at!","%s cocok dengan Anda, segera periksa!","%s нашел вас, иди и проверь!",%s 당신과 일치했습니다. 가서 확인해보세요!,"%s Combinou com você, vá dar uma olhada!",%s ตรงกับคุณแล้วลองดูสิ!,"%s Ha coincidido contigo, ¡échale un vistazo!","%s आपके साथ मेल खाता है, इसे देखें!","%s Đã phù hợp với bạn, hãy kiểm tra nó ra!",%s نے آپ سے میل کھایا ہے ، اسے چیک کریں!
13,互相喜欢，马上互动！,Like each other，interact now！,تحبون بعضكم البعض ، تفاعلوا على الفور!,"Birbirinizi beğendiniz, hemen etkileşime geç!","Sukai satu sama lain, segera berinteraksi!","Нравится друг другу, взаимодействуйте немедленно!",서로처럼 즉시 상호 작용하십시오!,"Gostem um do outro, interajam imediatamente!",ถูกใจกันโต้ตอบทันที!,"¡Como los demás, interactúen inmediatamente!","एक दूसरे की तरह, तुरंत बातचीत करें!","Thích nhau, tương tác ngay lập tức!",ایک دوسرے کی طرح ، فوری طور پر بات چیت!
14,互相喜欢,Like Each Other,اعجاب بعضنا البعض,Karşılıklı Beğeni,Saling menyukai,Нравятся друг другу,서로처럼,Gostam um do outro,กดไลค์กัน,Como el uno al otro,एक दुसरे को पसंद है,Thích nhau,ایک دوسرے کی طرح
15,通话时长%s,Call time %s,مدة المكالمة s%,Arama süresi %s,Waktu bicara %s,Время разговора %s,통화 시간 %s,Tempo de conversação %s,เวลาพูดคุย %s,Tiempo de conversación %s,बात करने का समय %s,Thời gian nói chuyện %s,بات کا وقت s%
16,已取消,Cancelled,تم الغاء,İptal Edildi,Dibatalkan,Отменено,취소 된,Cancelado,ยกเลิก,Cancelado,रद्द,Đã hủy,منسوخ
17,来电未接听,Missed call,مكالمة فائتة,Cevapsız Arama,Panggilan tidak terjawab,Пропущенный звонок,부재중 전화,Chamada Perdida,สายที่ไม่ได้รับ,Llamada perdida,मिस कॉल,Cuộc gọi nhỡ,مسڈ کال
"18
（%s=2000）",互相赠送礼物可以填满永恒之心，当互相赠送累积价值%s钻石的礼物时，永恒之心达到100%，可以解锁永久免费视频通话,Send gifts to each other to fill the Eternal Heart，when the total value of the gift is over %s diamonds，the Eternal Heart will be 100%，and can unlock the free video call with each other forever.,إن تقديم الهدايا لبعضنا البعض يمكن أن يملأ قلب الأبدية.عند تقديم هدايا أخرى بقيمة %s ماسة ، يصل قلب الخلود إلى 100% ويمكنه فتح مكالمات فيديو مجانية دائمة.,Sonsuz Kalbi doldurmak için birbirinize hediye gönderin. Hediyelerin toplam değeri %s elmasın üzerine çıktığında Sonsuz Kalp %100 olacaktır. Bundan sonra birbirinizle sınırsız ücretsiz görüntülü arama özelliğini açabilirsiniz.,"Saling memberi hadiah bisa mengisi hati keabadian.Ketika saling memberi hadiah senilai %s berlian, hati keabadian mencapai 100% dan bisa membuka video call gratis permanen.","Дарить друг другу подарки может наполнить Вечное Сердце. Когда вы дарите друг другу подарки с совокупной стоимостью %s бриллиантов, Вечное Сердце достигает 100% и может разблокировать постоянные бесплатные видеозвонки.",서로에게 선물을주는 것은 영원의 마음을 채울 수 있습니다. 서로에게 다이아몬드 %s 개 상당의 선물을 주면 영원의 마음은 100% 에 도달하고 영구 무료 화상 통화를 잠금 해제 할 수 있습니다.,"Dar presentes um para o outro pode preencher o coração da eternidade. Ao dar presentes uns aos outros no valor de %s diamantes, o coração da eternidade atinge 100% e pode desbloquear chamadas de vídeo gratuitas permanentes.",การมอบของขวัญให้กันและกันสามารถเติมเต็มหัวใจแห่งนิรันดร์เมื่อมอบของขวัญให้กันและกันมูลค่า %s เพชรหัวใจแห่งนิรันดร์ถึง 100% และสามารถปลดล็อกแฮงเอาท์วิดีโอฟรีแบบถาวรได้,"Darse regalos el uno al otro puede llenar el corazón de la eternidad. Cuando se dan regalos por valor de %s diamantes, el corazón de la eternidad alcanza el 100% y puede desbloquear videollamadas gratuitas permanentes.","एक-दूसरे को उपहार देना अनंत काल का दिल भर सकता है। %s हीरे के मूल्य के एक-दूसरे को उपहार देने पर, अनंत काल का दिल 100% तक पहुंच जाता है और स्थायी मुफ्त वीडियो कॉल को अनलॉक कर सकता है।","Tặng quà cho nhau có thể lấp đầy Trái tim vĩnh cửu. Khi tặng quà cho nhau có giá trị tích lũy %s kim cương, Trái tim vĩnh cửu đạt 100% và có thể mở khóa cuộc gọi video miễn phí vĩnh viễn.",ایک دوسرے کو تحائف دینے سے ابدی قلب بھر سکتا ہے۔ جب ایک دوسرے کو تحفے میں %s ہیرے کی مجموعی قیمت کے ساتھ دیتے ہیں تو ، ابدی دل 100% تک پہنچ جاتا ہے اور مستقل مفت ویڈیو کالز کو انلاک کرسکتا ہے۔
